generation,hypervolume,nondominated_count,best_obj_0,mean_obj_0,std_obj_0,best_obj_1,mean_obj_1,std_obj_1,best_obj_2,mean_obj_2,std_obj_2,best_obj_3,mean_obj_3,std_obj_3
0,1196770.8030899998,46,35.346588134765625,22.971599578857422,4.791068077087402,24.68934440612793,11.0162935256958,10.430076599121094,33.97690200805664,21.667396545410156,7.513808727264404,23.55671501159668,12.363432884216309,9.76675033569336
1,1293339.1718799998,64,37.564849853515625,22.423431396484375,6.221949577331543,26.48769187927246,12.507974624633789,10.86032485961914,34.407047271728516,23.30071258544922,6.634527206420898,23.55671501159668,12.039815902709961,10.849594116210938
2,1390792.0625,64,37.564849853515625,22.388137817382812,5.498940467834473,26.48769187927246,15.023740768432617,9.380741119384766,40.77530288696289,22.253997802734375,7.065864562988281,25.412635803222656,15.229998588562012,7.823736190795898
3,1433552.7844,64,37.564849853515625,22.545013427734375,5.510623455047607,27.204965591430664,14.239673614501953,9.747297286987305,40.77530288696289,22.37163734436035,7.177908420562744,25.412635803222656,14.573307037353516,8.276351928710938
4,1439554.11352,64,37.564849853515625,22.254619598388672,6.09747838973999,28.503952026367188,14.421735763549805,9.62472152709961,40.77530288696289,22.362972259521484,7.58958101272583,25.412635803222656,14.396852493286133,8.016138076782227
5,1474385.35704,64,37.564849853515625,21.914005279541016,6.59938907623291,28.503952026367188,15.184600830078125,9.087141036987305,40.77530288696289,22.585865020751953,7.735857963562012,25.412635803222656,14.632009506225586,7.201056957244873
6,1483328.51416,64,37.564849853515625,21.32483673095703,7.930181503295898,28.503952026367188,13.319249153137207,10.278313636779785,40.77530288696289,21.949234008789062,10.981864929199219,29.865066528320312,13.360221862792969,8.668203353881836
7,1484827.68228,64,37.564849853515625,21.420761108398438,7.607133388519287,28.503952026367188,13.760786056518555,10.008212089538574,40.77530288696289,21.836284637451172,10.526575088500977,32.49361801147461,13.953569412231445,8.359257698059082
8,1494220.35312,64,40.15524673461914,21.228565216064453,7.60388708114624,28.503952026367188,14.385251998901367,9.098187446594238,40.77530288696289,22.32855224609375,10.098747253417969,32.49361801147461,14.125999450683594,8.244081497192383
9,1533690.88677,64,40.15524673461914,21.64773941040039,7.97605562210083,28.503952026367188,13.220170974731445,9.526354789733887,40.77530288696289,22.427888870239258,10.448995590209961,32.49361801147461,13.188898086547852,8.694986343383789
10,1524828.634875,64,40.15524673461914,21.895999908447266,8.18369197845459,28.503952026367188,13.490594863891602,9.651152610778809,40.77530288696289,21.828954696655273,10.00559139251709,32.49361801147461,13.804040908813477,8.397303581237793
11,1502166.3898999998,64,37.564849853515625,21.34009552001953,7.880376815795898,28.503952026367188,13.834356307983398,9.032194137573242,41.93452835083008,22.36113929748535,10.370190620422363,32.49361801147461,13.640999794006348,8.477792739868164
12,1524097.39192,64,39.579219818115234,21.94713020324707,8.414117813110352,28.503952026367188,12.692915916442871,10.179427146911621,42.98112869262695,22.043840408325195,10.102494239807129,32.49361801147461,12.783973693847656,9.077966690063477
13,1521533.72936,64,39.579219818115234,22.22491455078125,7.738602638244629,28.503952026367188,13.26890754699707,9.87529182434082,42.98112869262695,22.747447967529297,9.010784149169922,32.49361801147461,12.842718124389648,8.935281753540039
14,1523388.47234,64,39.579219818115234,22.39719581604004,8.09864330291748,28.503952026367188,12.679642677307129,10.767884254455566,43.409610748291016,21.904905319213867,9.809682846069336,32.49361801147461,13.07927131652832,9.10644245147705
