generation,hypervolume,nondominated_count,best_obj_0,mean_obj_0,std_obj_0,best_obj_1,mean_obj_1,std_obj_1,best_obj_2,mean_obj_2,std_obj_2
0,4164243.3987,14,1123.3436279296875,1002.28662109375,20.29706573486328,1055.9285888671875,997.6442260742188,20.12042999267578,979.0691528320312,902.84765625,82.61544799804688
1,4352036.766,18,1123.3436279296875,1004.2298583984375,21.293792724609375,1055.9285888671875,1000.53173828125,21.488658905029297,979.0691528320312,909.220703125,86.86949157714844
2,4502605.2592,21,1123.3436279296875,1004.543701171875,22.951419830322266,1055.9285888671875,1004.502685546875,23.656265258789062,984.2550659179688,907.25244140625,100.19195556640625
3,5217654.08736,33,1123.3436279296875,1008.8306274414062,28.522014617919922,1139.9049072265625,1005.75244140625,43.54798889160156,984.9996948242188,894.3616943359375,121.39078521728516
4,5986146.55344,31,1123.3436279296875,1008.6282348632812,30.4836368560791,1139.9049072265625,1008.9263305664062,47.55069351196289,987.7092895507812,897.1431884765625,123.41381072998047
5,6123944.75212,31,1123.3436279296875,1009.7127075195312,30.58795738220215,1139.9049072265625,1010.8973388671875,48.140804290771484,988.7662963867188,907.9251708984375,112.44755554199219
6,6571506.77568,35,1123.3436279296875,1012.643310546875,33.69887924194336,1139.9049072265625,1012.82275390625,49.95418167114258,989.3434448242188,896.1180419921875,118.26715850830078
7,6600352.6512,43,1123.3436279296875,1014.7764892578125,35.71867752075195,1139.9049072265625,1015.1754150390625,50.508056640625,989.3434448242188,887.4376831054688,121.11360931396484
8,6676481.972159999,40,1123.3436279296875,1016.3132934570312,36.14546585083008,1139.9049072265625,1013.8577270507812,51.70731735229492,989.3434448242188,883.7568359375,125.6629638671875
9,6685230.06468,41,1123.3436279296875,1016.3472900390625,36.03984451293945,1139.9049072265625,1014.0096435546875,51.729915618896484,990.5828247070312,884.879638671875,126.31085205078125
10,7332620.65096,42,1123.3436279296875,1019.067626953125,37.2303466796875,1146.6348876953125,1017.471435546875,54.64630126953125,990.5828247070312,874.003173828125,135.7769317626953
11,7656746.94876,45,1207.6129150390625,1022.96533203125,44.5326042175293,1146.6348876953125,1016.1571044921875,58.77371597290039,990.5828247070312,869.1259765625,141.0958709716797
12,7844907.17808,51,1207.6129150390625,1025.75439453125,47.462005615234375,1146.6348876953125,1014.0745849609375,55.35325622558594,992.1815795898438,889.5052490234375,121.7607192993164
13,7875407.55456,50,1207.6129150390625,1025.603271484375,47.612022399902344,1146.6348876953125,1016.0362548828125,55.03132247924805,992.1815795898438,887.4866333007812,121.7778549194336
14,7886976.66288,53,1207.6129150390625,1024.541748046875,51.23455810546875,1146.6348876953125,1020.1868896484375,51.23368453979492,992.1815795898438,885.7333984375,123.02410125732422
15,8429094.0042,52,1207.6129150390625,1025.003662109375,50.92979049682617,1150.281982421875,1021.694091796875,53.137508392333984,994.6995239257812,893.7213134765625,116.40924072265625
16,9799846.01128,54,1207.6129150390625,1024.14990234375,50.57585906982422,1150.281982421875,1025.577392578125,39.66884231567383,994.6995239257812,907.4402465820312,111.7920150756836
17,9962665.763759999,58,1207.6129150390625,1021.6454467773438,50.13913345336914,1150.281982421875,1025.3812255859375,39.314693450927734,994.6995239257812,915.1956176757812,111.21552276611328
18,10975002.861159999,61,1207.6129150390625,1023.5287475585938,48.9970588684082,1150.281982421875,1028.5321044921875,43.24144744873047,994.6995239257812,917.3861694335938,104.83841705322266
19,10850244.868999999,63,1207.6129150390625,1024.848388671875,48.1506462097168,1150.281982421875,1028.8748779296875,43.3690071105957,994.6995239257812,920.9376220703125,103.86389923095703
20,10776764.52616,64,1207.6129150390625,1025.034423828125,48.52600860595703,1150.281982421875,1029.52685546875,43.55591583251953,994.6995239257812,919.661376953125,104.41670989990234
21,10885663.45152,64,1207.6129150390625,1024.9927978515625,51.2268180847168,1150.281982421875,1032.875,44.959205627441406,994.6995239257812,915.5399169921875,104.1218032836914
22,11086016.32876,56,1207.6129150390625,1026.5693359375,54.14176940917969,1150.281982421875,1038.67333984375,45.85977554321289,994.6995239257812,893.0204467773438,123.10708618164062
23,11097646.31108,58,1207.6129150390625,1029.88916015625,52.272403717041016,1150.281982421875,1040.824951171875,44.67324447631836,994.6995239257812,889.53515625,126.06832122802734
24,11033046.614200002,57,1207.6129150390625,1029.47900390625,52.66379165649414,1150.281982421875,1039.7618408203125,45.32688522338867,995.06396484375,892.622314453125,126.67695617675781
25,17016973.26264,47,1207.6129150390625,1029.730224609375,56.74540710449219,1150.281982421875,1038.60986328125,45.87821578979492,995.06396484375,909.0121459960938,117.67703247070312
26,17728972.10064,45,1209.7008056640625,1034.5478515625,62.290523529052734,1150.281982421875,1037.568115234375,45.976688385009766,995.06396484375,912.093505859375,119.96845245361328
27,17886328.26304,50,1209.7008056640625,1029.3033447265625,67.45040130615234,1150.281982421875,1042.498779296875,49.364131927490234,995.06396484375,905.4609375,127.59230041503906
28,18410051.358599998,56,1209.7008056640625,1026.2340087890625,58.90263366699219,1174.8563232421875,1043.7371826171875,49.722129821777344,995.2643432617188,915.113037109375,119.26145935058594
29,18675299.814600002,59,1209.7008056640625,1026.0211181640625,59.785404205322266,1174.8563232421875,1045.4879150390625,51.0120964050293,995.2643432617188,911.756103515625,122.55652618408203
30,20234692.174399998,56,1209.7008056640625,1025.5634765625,60.38515853881836,1222.7784423828125,1040.826904296875,51.154998779296875,995.2643432617188,924.8421630859375,113.39263153076172
31,20220114.24512,54,1209.7008056640625,1025.2158203125,63.054168701171875,1222.7784423828125,1039.366943359375,52.56111526489258,995.36328125,922.444580078125,117.7232666015625
32,20384388.26336,46,1209.7008056640625,1021.8973388671875,60.94985580444336,1222.7784423828125,1042.1168212890625,50.86006164550781,995.36328125,927.0799560546875,113.11326599121094
33,20485258.27456,48,1209.7008056640625,1021.114013671875,61.53194808959961,1222.7784423828125,1045.599609375,53.89555740356445,995.36328125,925.6941528320312,112.46761322021484
34,20753284.30432,50,1209.7008056640625,1022.1251831054688,60.946136474609375,1222.7784423828125,1046.8858642578125,54.70498275756836,995.36328125,924.9802856445312,109.98894500732422
35,21055173.83784,47,1209.7008056640625,1025.8955078125,64.94287872314453,1222.7784423828125,1044.804931640625,58.326168060302734,995.36328125,921.733642578125,114.14590454101562
36,21719829.5592,47,1235.3939208984375,1024.8275146484375,70.82027435302734,1222.7784423828125,1047.974609375,62.334224700927734,995.36328125,915.5065307617188,111.71598815917969
