policy_id,checkpoint_path,objective_0,objective_1,objective_2
42,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_042.pt,1036.959716796875,1023.4227905273438,986.2263793945312
43,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_043.pt,1216.5579833984375,1134.34814453125,633.7485961914062
44,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_044.pt,1117.26611328125,1384.8017578125,933.3406372070312
45,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_045.pt,1268.55419921875,1086.6541748046875,540.3633422851562
46,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_046.pt,1024.9400634765625,1314.5362548828125,945.181396484375
47,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_047.pt,996.1583862304688,997.58447265625,994.5966796875
48,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_048.pt,999.3816528320312,1000.2702026367188,994.2520141601562
49,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_049.pt,999.4967651367188,994.8507690429688,994.6824340820312
50,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_050.pt,999.0848999023438,998.9065551757812,994.385009765625
51,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_051.pt,1000.9596557617188,997.2080078125,993.6276245117188
52,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_052.pt,1012.8284301757812,1017.56640625,992.4004516601562
53,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_053.pt,1133.7298583984375,959.9321899414062,980.1884155273438
54,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_054.pt,1001.94921875,994.217529296875,994.14013671875
55,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_055.pt,1058.991455078125,1021.9906616210938,983.9793090820312
56,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_056.pt,1055.0169677734375,1031.4097900390625,982.8792114257812
57,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_057.pt,1148.1220703125,1125.7816162109375,958.29638671875
58,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_058.pt,1171.3236083984375,1102.1033935546875,958.5966796875
59,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_059.pt,1021.5325317382812,1101.1671142578125,985.7942504882812
60,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_060.pt,1043.726806640625,1052.028076171875,977.0056762695312
61,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_061.pt,1044.4793701171875,1007.3642578125,985.593017578125
62,outputs/mo-ant-v5/seed_0/checkpoints/pareto_front/policy_062.pt,1096.5321044921875,1137.0919189453125,971.2614135742188
