generation,hypervolume,nondominated_count,best_obj_0,mean_obj_0,std_obj_0,best_obj_1,mean_obj_1,std_obj_1
0,1707.39453125,10,750.220703125,83.23729705810547,168.30628967285156,-3.551893472671509,-156.14572143554688,190.40615844726562
1,1707.39453125,12,750.220703125,96.66920471191406,174.13821411132812,-3.551893472671509,-139.8629150390625,151.74432373046875
2,1707.39453125,12,750.220703125,128.04043579101562,197.63792419433594,-3.551893472671509,-155.59616088867188,169.8972625732422
3,1494.77490234375,13,750.220703125,118.939208984375,193.8926544189453,-3.2681477069854736,-135.6408233642578,151.16795349121094
4,1494.77490234375,16,750.220703125,124.15459442138672,191.34765625,-3.2681477069854736,-136.23548889160156,148.55032348632812
5,2463.322265625,14,992.1962890625,171.49171447753906,249.00340270996094,-3.186617612838745,-174.2660369873047,232.50225830078125
6,2463.322265625,18,1140.2435302734375,185.29718017578125,278.9109802246094,-3.186617612838745,-149.99021911621094,173.80894470214844
7,2463.322265625,19,1140.2435302734375,233.9243927001953,313.3475646972656,-3.186617612838745,-174.05645751953125,196.36300659179688
8,2463.322265625,19,1140.7418212890625,284.2392578125,351.13726806640625,-3.186617612838745,-198.10232543945312,237.58241271972656
9,1437.4700927734375,20,1140.7418212890625,291.88104248046875,360.1675109863281,-2.3944613933563232,-192.7119140625,236.4862518310547
10,1375.5528564453125,24,1293.4666748046875,268.4870910644531,354.69622802734375,-1.2413090467453003,-163.65162658691406,202.46817016601562
11,1375.5528564453125,26,1293.4666748046875,291.5802917480469,360.3788146972656,-1.2413090467453003,-172.6093292236328,205.648681640625
12,1375.5528564453125,30,1293.4666748046875,341.64849853515625,408.9133605957031,-1.2413090467453003,-203.96389770507812,256.5850830078125
13,1375.5528564453125,28,1293.4666748046875,355.4600524902344,410.8739318847656,-1.2413090467453003,-223.11463928222656,273.1844177246094
14,1375.5528564453125,26,1293.4666748046875,360.60791015625,407.5752258300781,-1.2413090467453003,-225.25767517089844,267.8409423828125
15,1375.5528564453125,27,1293.4666748046875,395.002685546875,400.219482421875,-1.2413090467453003,-245.43807983398438,273.3343200683594
16,1375.5528564453125,33,1434.7845458984375,401.84356689453125,431.1951904296875,-1.2413090467453003,-231.85345458984375,279.4457702636719
17,1375.5528564453125,32,1434.7845458984375,407.63653564453125,443.3138122558594,-1.2413090467453003,-245.5772247314453,335.4828186035156
18,1375.5528564453125,36,1434.7845458984375,429.96417236328125,458.7039794921875,-1.2413090467453003,-262.03497314453125,355.1543273925781
19,1375.5528564453125,37,1799.5894775390625,433.0378723144531,476.9037780761719,-1.2413090467453003,-247.83917236328125,308.26397705078125
20,1375.5528564453125,36,1799.5894775390625,402.3701171875,462.82940673828125,-1.2413090467453003,-210.6016082763672,263.0870666503906
21,1375.5528564453125,37,1799.5894775390625,446.948486328125,490.68133544921875,-1.2413090467453003,-225.7445831298828,265.45635986328125
22,1375.5528564453125,37,1799.5894775390625,446.0872497558594,491.4013366699219,-1.2413090467453003,-225.1407470703125,265.875
23,1375.5528564453125,40,1799.5894775390625,423.3707275390625,488.2188415527344,-1.2413090467453003,-212.01803588867188,263.9554443359375
24,1375.5528564453125,39,1799.5894775390625,440.961669921875,499.2432861328125,-1.2413090467453003,-217.9241485595703,270.54180908203125
25,1976.30615234375,38,1799.5894775390625,455.25390625,501.8984069824219,-1.1439298391342163,-222.9458770751953,269.4943542480469
26,1976.30615234375,40,1799.5894775390625,470.185546875,499.3333435058594,-1.1439298391342163,-228.72445678710938,268.6965026855469
27,1976.30615234375,39,1799.5894775390625,464.3514404296875,500.2143249511719,-1.1439298391342163,-224.41079711914062,269.1734924316406
28,1976.30615234375,41,1799.5894775390625,509.1864013671875,509.9907531738281,-1.1439298391342163,-245.38729858398438,272.70526123046875
29,1976.30615234375,45,1799.5894775390625,524.6807861328125,509.9696350097656,-1.1439298391342163,-249.626708984375,270.57476806640625
