generation,hypervolume,nondominated_count,best_obj_0,mean_obj_0,std_obj_0,best_obj_1,mean_obj_1,std_obj_1
0,52052.91796875,1,368.6792907714844,202.6961212158203,54.479148864746094,356.34228515625,192.7614288330078,52.99689865112305
1,98757.796875,1,456.0013732910156,233.74949645996094,56.96686553955078,441.2413024902344,222.93597412109375,56.17235565185547
2,98757.796875,1,456.0013732910156,265.88909912109375,52.8425407409668,441.2413024902344,254.72897338867188,51.55485916137695
3,98757.796875,1,456.0013732910156,279.7911682128906,52.123775482177734,441.2413024902344,268.8116455078125,50.59367752075195
4,98757.796875,1,456.0013732910156,292.15460205078125,53.55702590942383,441.2413024902344,279.7527160644531,49.7979850769043
5,98757.796875,1,456.0013732910156,304.0011291503906,52.00101852416992,441.2413024902344,290.934326171875,48.22738265991211
6,102016.3359375,2,456.0013732910156,324.8712463378906,52.40165710449219,457.9234313964844,310.55523681640625,51.2560920715332
7,102016.3359375,2,456.0013732910156,338.41943359375,45.85163116455078,457.9234313964844,323.3384094238281,45.12140655517578
8,102016.3359375,2,510.7666320800781,360.4232177734375,47.823822021484375,457.9234313964844,343.4784851074219,44.39768981933594
9,102016.3359375,2,510.7666320800781,378.9404296875,40.941261291503906,457.9234313964844,360.8271789550781,38.082061767578125
10,102016.3359375,2,510.7666320800781,397.7823486328125,37.671939849853516,457.9234313964844,376.9640808105469,38.2369270324707
11,116256.65625,3,510.7666320800781,411.71807861328125,38.03754425048828,479.8457946777344,393.21875,37.233299255371094
12,123741.7734375,3,510.7666320800781,419.50848388671875,35.18620681762695,489.5580139160156,403.73345947265625,34.59484100341797
13,152576.6875,2,531.9806518554688,434.66241455078125,38.6805534362793,526.43115234375,419.18890380859375,35.74332046508789
14,152576.6875,2,531.9806518554688,440.08880615234375,35.72195053100586,526.43115234375,425.1259765625,34.05152130126953
15,152576.6875,2,531.9806518554688,444.5154113769531,34.50813674926758,526.43115234375,429.6019287109375,32.939998626708984
16,152576.6875,2,531.9806518554688,453.8121032714844,32.9743766784668,526.43115234375,436.52764892578125,34.606815338134766
17,271002.21875,1,678.8117065429688,462.7554626464844,40.53447723388672,631.9437866210938,445.2417907714844,38.25083541870117
18,271002.21875,1,678.8117065429688,464.9494934082031,41.321834564208984,631.9437866210938,447.7563781738281,38.0400276184082
19,271002.21875,1,678.8117065429688,469.30267333984375,39.87033462524414,631.9437866210938,451.68548583984375,37.77011489868164
20,271002.21875,1,678.8117065429688,471.8531494140625,38.78554153442383,631.9437866210938,454.7362060546875,36.070865631103516
21,271002.21875,1,678.8117065429688,480.95263671875,39.35247039794922,631.9437866210938,464.9731140136719,37.37824630737305
22,271002.21875,1,678.8117065429688,484.8466796875,41.570838928222656,631.9437866210938,468.90679931640625,38.78093338012695
23,271002.21875,1,678.8117065429688,487.89300537109375,40.79094696044922,631.9437866210938,471.529052734375,37.94721221923828
24,271002.21875,1,678.8117065429688,490.319091796875,40.236454010009766,631.9437866210938,473.9669189453125,37.00817108154297
25,271002.21875,1,678.8117065429688,497.23065185546875,40.50067901611328,631.9437866210938,481.4454040527344,36.68528366088867
26,271002.21875,1,678.8117065429688,502.7835693359375,42.87636947631836,631.9437866210938,488.8279724121094,38.68757247924805
27,271002.21875,1,678.8117065429688,509.96746826171875,40.4161262512207,631.9437866210938,495.07666015625,37.859561920166016
28,271002.21875,1,678.8117065429688,513.98193359375,38.953121185302734,631.9437866210938,498.23065185546875,36.898834228515625
29,271002.21875,1,678.8117065429688,516.1903076171875,38.271942138671875,631.9437866210938,500.1951599121094,35.87644958496094
30,271002.21875,1,678.8117065429688,516.2808837890625,38.164424896240234,631.9437866210938,500.7840270996094,35.32175827026367
31,271002.21875,1,678.8117065429688,518.3362426757812,37.369773864746094,631.9437866210938,502.9696960449219,35.09377670288086
32,271002.21875,1,678.8117065429688,519.9630126953125,37.32115173339844,631.9437866210938,504.35595703125,36.07744216918945
33,271002.21875,1,678.8117065429688,522.9700927734375,36.38209915161133,631.9437866210938,507.3634033203125,35.37541961669922
34,271002.21875,1,678.8117065429688,524.986083984375,35.68459701538086,631.9437866210938,508.8795471191406,35.89498519897461
35,271002.21875,1,678.8117065429688,525.6787109375,35.48983383178711,631.9437866210938,509.6741943359375,35.436492919921875
36,271002.21875,1,678.8117065429688,530.9894409179688,38.15202331542969,631.9437866210938,515.574951171875,38.45070266723633
37,271002.21875,1,678.8117065429688,531.7442626953125,37.83529281616211,631.9437866210938,516.650390625,38.208988189697266
38,338027.90625,1,719.7169799804688,536.9873046875,43.84592056274414,711.6765747070312,521.7337646484375,44.70390319824219
39,338027.90625,1,719.7169799804688,537.922607421875,43.283546447753906,711.6765747070312,522.4741821289062,44.40913009643555
40,338027.90625,1,719.7169799804688,540.5472412109375,42.202125549316406,711.6765747070312,524.2945556640625,43.615089416503906
41,338027.90625,1,719.7169799804688,541.184814453125,42.23601150512695,711.6765747070312,526.0501708984375,42.53761672973633
42,338027.90625,1,719.7169799804688,545.6542358398438,42.50542449951172,711.6765747070312,530.4383544921875,42.5238151550293
43,338027.90625,1,719.7169799804688,550.0108642578125,42.42970275878906,711.6765747070312,534.451904296875,41.534061431884766
44,338027.90625,1,719.7169799804688,551.8499145507812,41.60971450805664,711.6765747070312,536.1260986328125,40.80351638793945
45,338027.90625,1,719.7169799804688,554.4410400390625,42.25878143310547,711.6765747070312,539.5783081054688,41.10227584838867
46,338027.90625,1,719.7169799804688,556.6732177734375,43.19504165649414,711.6765747070312,541.8815307617188,41.60333251953125
47,338027.90625,1,719.7169799804688,558.2172241210938,42.4995002746582,711.6765747070312,543.274169921875,41.318809509277344
48,338027.90625,1,719.7169799804688,559.9552612304688,42.21778869628906,711.6765747070312,545.2738037109375,40.787166595458984
49,338027.90625,1,719.7169799804688,561.3748779296875,42.42710494995117,711.6765747070312,546.7242431640625,40.7440071105957
50,338027.90625,1,719.7169799804688,563.3275146484375,42.9967155456543,711.6765747070312,549.3981323242188,39.823936462402344
51,338027.90625,1,719.7169799804688,566.7642211914062,41.240386962890625,711.6765747070312,552.0489501953125,39.02848434448242
52,338027.90625,1,719.7169799804688,571.8060302734375,39.76579284667969,711.6765747070312,556.4237060546875,37.507564544677734
53,338027.90625,1,719.7169799804688,573.33447265625,38.858768463134766,711.6765747070312,557.6673583984375,37.01580810546875
54,338027.90625,1,719.7169799804688,573.33447265625,38.858768463134766,711.6765747070312,557.6673583984375,37.01580810546875
55,338027.90625,1,719.7169799804688,577.631103515625,40.35859298706055,711.6765747070312,561.7230224609375,38.33308029174805
56,338027.90625,1,719.7169799804688,578.3363037109375,40.09306716918945,711.6765747070312,562.7088012695312,38.060035705566406
57,425765.46875,1,809.265869140625,582.5391845703125,48.99403381347656,765.0463256835938,566.59912109375,45.15677261352539
58,425765.46875,1,809.265869140625,583.1073608398438,48.73643112182617,765.0463256835938,567.1436767578125,44.69572830200195
59,425765.46875,1,809.265869140625,583.9180908203125,48.418941497802734,765.0463256835938,567.8142700195312,44.3711051940918
60,425765.46875,1,809.265869140625,584.3194580078125,48.0357780456543,765.0463256835938,568.024169921875,44.1796875
61,425765.46875,1,809.265869140625,586.852783203125,47.65745544433594,765.0463256835938,570.7352905273438,43.79774856567383
62,425765.46875,1,809.265869140625,588.610107421875,47.356597900390625,765.0463256835938,572.2113037109375,43.87153244018555
63,425765.46875,1,809.265869140625,588.610107421875,47.356597900390625,765.0463256835938,572.2113037109375,43.87153244018555
64,425765.46875,1,809.265869140625,588.79638671875,47.210994720458984,765.0463256835938,572.6385498046875,43.55318069458008
65,425765.46875,1,809.265869140625,588.607666015625,47.47317886352539,765.0463256835938,572.7152709960938,43.47161865234375
66,425765.46875,1,809.265869140625,588.607666015625,47.47317886352539,765.0463256835938,572.7152709960938,43.47161865234375
67,425765.46875,1,809.265869140625,590.4453125,48.590126037597656,765.0463256835938,574.7763671875,44.346187591552734
68,425765.46875,1,809.265869140625,591.806396484375,47.52140808105469,765.0463256835938,575.6067504882812,43.82868957519531
69,425765.46875,1,809.265869140625,592.8850708007812,47.25334167480469,765.0463256835938,576.7249145507812,43.63448715209961
70,425765.46875,1,809.265869140625,593.0161743164062,47.12012481689453,765.0463256835938,577.148681640625,43.245174407958984
71,425765.46875,1,809.265869140625,593.684326171875,46.8653678894043,765.0463256835938,577.86572265625,42.85457992553711
72,425765.46875,1,809.265869140625,595.4403686523438,46.59430694580078,765.0463256835938,580.83837890625,41.970458984375
73,425765.46875,1,809.265869140625,596.336181640625,46.059715270996094,765.0463256835938,581.2042846679688,41.73093032836914
74,425765.46875,1,809.265869140625,600.1043701171875,48.0605354309082,765.0463256835938,584.8775024414062,44.43999099731445
75,425765.46875,1,809.265869140625,600.4361572265625,47.838600158691406,765.0463256835938,585.0443725585938,44.316768646240234
76,425765.46875,1,809.265869140625,602.7512817382812,46.7794075012207,765.0463256835938,587.2745361328125,43.02851104736328
77,425765.46875,1,809.265869140625,604.9379272460938,45.769222259521484,765.0463256835938,589.213134765625,42.05238342285156
78,425765.46875,1,809.265869140625,604.9379272460938,45.769222259521484,765.0463256835938,589.213134765625,42.05238342285156
79,425765.46875,1,809.265869140625,606.1309814453125,45.57072830200195,765.0463256835938,590.6273803710938,42.21955108642578
80,425765.46875,1,809.265869140625,607.4063110351562,45.19322967529297,765.0463256835938,591.4143676757812,41.93543243408203
81,425765.46875,1,809.265869140625,607.5867919921875,45.03947067260742,765.0463256835938,592.1119384765625,41.47316360473633
82,425765.46875,1,809.265869140625,608.528076171875,44.35089111328125,765.0463256835938,593.5950317382812,40.74203109741211
83,425765.46875,1,809.265869140625,608.528076171875,44.35089111328125,765.0463256835938,593.5950317382812,40.74203109741211
84,425765.46875,1,809.265869140625,609.0419311523438,43.89862823486328,765.0463256835938,593.846923828125,40.51704406738281
85,425765.46875,1,809.265869140625,609.85205078125,43.71199035644531,765.0463256835938,594.8681640625,40.37933349609375
86,425765.46875,1,809.265869140625,610.797119140625,43.564701080322266,765.0463256835938,595.6971435546875,40.14182662963867
87,425765.46875,1,809.265869140625,612.0638427734375,42.7794303894043,765.0463256835938,597.0537719726562,39.533206939697266
88,425765.46875,1,809.265869140625,611.6783447265625,43.18783187866211,765.0463256835938,597.2509155273438,39.365196228027344
89,425765.46875,1,809.265869140625,612.3792724609375,42.73014831542969,765.0463256835938,598.1947631835938,38.80900955200195
90,425765.46875,1,809.265869140625,612.7442626953125,42.68085861206055,765.0463256835938,599.2032470703125,38.48666000366211
91,425765.46875,1,809.265869140625,615.5316162109375,42.1931037902832,765.0463256835938,601.5557861328125,39.25736618041992
92,425765.46875,1,809.265869140625,615.5316162109375,42.1931037902832,765.0463256835938,601.5557861328125,39.25736618041992
93,425765.46875,1,809.265869140625,616.33349609375,41.53488540649414,765.0463256835938,602.0061645507812,39.07136535644531
94,425765.46875,1,809.265869140625,617.3646850585938,41.45411682128906,765.0463256835938,603.21826171875,39.1923942565918
95,425765.46875,1,809.265869140625,618.0741577148438,41.06682205200195,765.0463256835938,604.7947387695312,38.18415832519531
96,425765.46875,1,809.265869140625,618.1427612304688,40.98771667480469,765.0463256835938,604.5714111328125,38.41190719604492
