generation,hypervolume,nondominated_count,best_obj_0,mean_obj_0,std_obj_0,best_obj_1,mean_obj_1,std_obj_1
0,68177.3828125,1,333.0555419921875,30.556982040405273,59.1181755065918,203.3942108154297,55.14814758300781,42.14578628540039
1,68177.3828125,1,333.0555419921875,54.25367736816406,80.2365493774414,203.3942108154297,74.36114501953125,45.440853118896484
2,108376.84375,2,333.0555419921875,102.60676574707031,100.625,335.6839904785156,116.02104187011719,51.06195068359375
3,108376.84375,2,333.0555419921875,150.03607177734375,110.23310089111328,335.6839904785156,139.57435607910156,46.01797103881836
4,108376.84375,2,374.1661682128906,201.3429412841797,104.01920318603516,335.6839904785156,166.9582977294922,40.19814682006836
5,108376.84375,2,374.1661682128906,225.06259155273438,94.92716217041016,335.6839904785156,178.42230224609375,40.781028747558594
6,176707.75,2,374.1661682128906,245.08885192871094,86.72469329833984,454.4549255371094,190.8832244873047,51.13848876953125
7,176707.75,2,374.1661682128906,256.2144775390625,80.46002960205078,454.4549255371094,196.969482421875,49.354801177978516
8,176707.75,2,519.4443359375,263.32440185546875,86.3572006225586,454.4549255371094,209.9395751953125,55.447269439697266
9,176707.75,2,519.4443359375,261.4841613769531,100.06739807128906,454.4549255371094,225.46099853515625,54.30965042114258
10,190681.140625,2,519.4443359375,274.50323486328125,96.53349304199219,470.8171081542969,235.24644470214844,60.051273345947266
11,190681.140625,2,519.4443359375,283.25048828125,92.42127227783203,470.8171081542969,241.16366577148438,63.058467864990234
12,190681.140625,2,519.4443359375,289.894287109375,90.90482330322266,470.8171081542969,244.17678833007812,61.695247650146484
13,190681.140625,2,519.4443359375,305.5857849121094,78.39253234863281,470.8171081542969,246.54393005371094,62.311344146728516
14,190681.140625,2,519.4443359375,307.3969421386719,81.9489974975586,470.8171081542969,252.18743896484375,60.013160705566406
15,190681.140625,2,519.4443359375,308.9524841308594,82.01837921142578,470.8171081542969,253.43890380859375,59.13491439819336
16,190681.140625,2,519.4443359375,310.98870849609375,83.67109680175781,470.8171081542969,257.4390869140625,58.6388053894043
17,190681.140625,2,519.4443359375,314.12823486328125,82.20825958251953,470.8171081542969,259.87628173828125,56.78605651855469
18,190681.140625,2,519.4443359375,317.4308166503906,81.68375396728516,470.8171081542969,263.83148193359375,55.07175064086914
19,190681.140625,2,519.4443359375,313.4698486328125,84.46074676513672,470.8171081542969,265.9989318847656,54.005470275878906
20,190681.140625,2,519.4443359375,313.34686279296875,84.9060287475586,470.8171081542969,267.42498779296875,53.57863235473633
21,190681.140625,2,519.4443359375,318.5522155761719,80.02345275878906,470.8171081542969,269.2635192871094,52.99799346923828
22,190681.140625,2,519.4443359375,324.9775085449219,78.11857604980469,470.8171081542969,274.213623046875,52.48558044433594
23,190681.140625,2,519.4443359375,324.70330810546875,81.06394958496094,470.8171081542969,276.6611633300781,51.838653564453125
24,190681.140625,2,519.4443359375,331.55999755859375,79.33283996582031,470.8171081542969,285.38690185546875,52.203712463378906
25,190681.140625,2,519.4443359375,342.594970703125,73.05648040771484,470.8171081542969,289.04071044921875,52.295806884765625
26,552374.4375,1,744.159912109375,350.44171142578125,87.73420715332031,728.9788208007812,297.7687683105469,75.42549133300781
27,552374.4375,1,744.159912109375,353.79217529296875,87.79744720458984,728.9788208007812,298.421875,75.22218322753906
28,552374.4375,1,744.159912109375,359.13714599609375,87.85567474365234,728.9788208007812,301.34820556640625,73.57229614257812
29,552374.4375,1,744.159912109375,373.859375,84.45211029052734,728.9788208007812,307.7200927734375,78.21247100830078
30,552374.4375,1,744.159912109375,376.9771728515625,82.93096160888672,728.9788208007812,308.3799133300781,78.30391693115234
31,552374.4375,1,744.159912109375,384.669189453125,77.24464416503906,728.9788208007812,310.358642578125,77.34992980957031
32,899993.125,1,1028.5867919921875,398.2300720214844,108.63101959228516,865.689453125,321.9501953125,103.5371322631836
33,899993.125,1,1028.5867919921875,399.0535888671875,108.38243865966797,865.689453125,321.0590515136719,104.01061248779297
34,899993.125,1,1028.5867919921875,395.07122802734375,113.57701110839844,865.689453125,324.97955322265625,103.13365936279297
35,899993.125,1,1028.5867919921875,400.4455261230469,125.1572036743164,865.689453125,331.6228332519531,110.0597152709961
36,899993.125,1,1028.5867919921875,402.021484375,123.67546081542969,865.689453125,331.37615966796875,110.14331817626953
37,946955.375,2,1028.5867919921875,411.58929443359375,143.65333557128906,942.0609741210938,345.15966796875,133.08438110351562
38,946955.375,2,1028.5867919921875,411.6300964355469,143.63186645507812,942.0609741210938,346.3230285644531,132.8900146484375
39,946955.375,2,1028.5867919921875,418.2796936035156,142.44100952148438,942.0609741210938,349.82940673828125,132.78097534179688
40,946955.375,2,1028.5867919921875,418.1219177246094,142.60052490234375,942.0609741210938,350.8773193359375,132.71437072753906
41,946955.375,2,1028.5867919921875,420.2358093261719,141.890869140625,942.0609741210938,353.8077697753906,132.3949432373047
42,946955.375,2,1028.5867919921875,428.44793701171875,137.25315856933594,942.0609741210938,359.3577575683594,135.22828674316406
43,946955.375,2,1028.5867919921875,428.0140380859375,137.4090118408203,942.0609741210938,360.1820068359375,134.78530883789062
44,946955.375,2,1028.5867919921875,426.55621337890625,138.4315643310547,942.0609741210938,364.22161865234375,133.58145141601562
45,946955.375,2,1028.5867919921875,426.55621337890625,138.4315643310547,942.0609741210938,364.22161865234375,133.58145141601562
