policy_id,checkpoint_path,objective_0,objective_1,objective_2
48,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_048.pt,1001.6083374023438,577.6442260742188,969.21337890625
49,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_049.pt,1014.7877807617188,561.5110473632812,865.6072387695312
50,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_050.pt,1003.7589721679688,576.537353515625,968.0291137695312
51,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_051.pt,1009.4343872070312,572.0405883789062,968.9523315429688
52,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_052.pt,1007.0957641601562,573.8322143554688,896.3108520507812
53,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_053.pt,1004.4560546875,576.7512817382812,965.5614624023438
54,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_054.pt,1006.6650390625,575.6022338867188,968.6203002929688
55,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_055.pt,1005.5045776367188,576.0714721679688,843.7109375
56,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_056.pt,1015.604248046875,542.8097534179688,946.2251586914062
57,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_057.pt,1008.1677856445312,574.3800659179688,861.91357421875
58,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_058.pt,1002.71826171875,577.3013305664062,924.5388793945312
59,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_059.pt,1000.8987426757812,578.05322265625,712.0696411132812
60,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_060.pt,1023.3547973632812,528.7206420898438,962.0365600585938
61,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_061.pt,1011.6095581054688,562.9774780273438,978.7831420898438
62,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_062.pt,1002.96044921875,577.1273803710938,954.3317260742188
63,outputs/mo-hopper-v5/seed_0/checkpoints/pareto_front/policy_063.pt,976.0846557617188,476.5682678222656,979.3349609375
