generation,hypervolume,nondominated_count,best_obj_0,mean_obj_0,std_obj_0,best_obj_1,mean_obj_1,std_obj_1,best_obj_2,mean_obj_2,std_obj_2
0,6048838.066889999,3,338.0993957519531,58.664283752441406,50.84408950805664,69.44671630859375,28.98223114013672,14.797752380371094,236.96234130859375,51.710838317871094,33.12835693359375
1,6938364.63616,2,338.0993957519531,89.63290405273438,50.24030685424805,97.19841766357422,34.64305114746094,20.786367416381836,236.96234130859375,66.93975067138672,37.50505447387695
2,7602139.164059999,2,338.0993957519531,107.74775695800781,54.472652435302734,105.1902847290039,38.83475875854492,29.46849822998047,236.96234130859375,83.80667114257812,38.72478103637695
3,7622466.233460001,2,338.0993957519531,128.12367248535156,55.693702697753906,105.1902847290039,39.69762420654297,38.15691375732422,236.96234130859375,96.65614318847656,35.829124450683594
4,7614150.61416,2,338.0993957519531,145.08468627929688,48.8211669921875,105.1902847290039,40.70259094238281,45.8935546875,236.96234130859375,108.51622009277344,36.5799674987793
5,8095134.32884,3,338.0993957519531,157.13377380371094,47.98097610473633,114.712158203125,43.818031311035156,51.82194519042969,236.96234130859375,119.04386901855469,37.988426208496094
6,8113583.307999999,4,338.0993957519531,168.03564453125,42.1917839050293,114.712158203125,44.35676956176758,56.87326431274414,236.96234130859375,126.09832763671875,38.06099319458008
7,18320711.1816,2,338.0993957519531,174.69363403320312,45.988887786865234,178.0828094482422,47.736915588378906,63.77690887451172,314.2168273925781,136.35809326171875,42.136688232421875
8,18476247.5444,3,360.946533203125,187.2001953125,48.872066497802734,178.0828094482422,47.418800354003906,68.25375366210938,314.2168273925781,144.2618408203125,44.22322082519531
9,20302406.29164,4,360.946533203125,195.14251708984375,49.32889175415039,189.614501953125,43.293739318847656,75.00545501708984,314.2168273925781,147.3480987548828,49.14635467529297
10,20277123.09576,4,360.946533203125,198.66294860839844,49.297157287597656,189.614501953125,41.7279167175293,79.05699157714844,314.2168273925781,152.04714965820312,48.421600341796875
11,20287768.651920002,4,360.946533203125,202.58578491210938,45.7215461730957,189.614501953125,41.825347900390625,80.43490600585938,314.2168273925781,153.74000549316406,49.840389251708984
12,20302849.856480002,4,360.946533203125,207.21319580078125,44.590736389160156,189.614501953125,45.02178192138672,83.96198272705078,314.2168273925781,160.60101318359375,50.543182373046875
13,20289099.34644,4,360.946533203125,210.82577514648438,42.93421173095703,189.614501953125,43.81542205810547,86.2510986328125,314.2168273925781,162.97320556640625,50.24806213378906
14,20271356.75284,4,360.946533203125,216.70335388183594,42.23604965209961,189.614501953125,42.9020881652832,89.62260437011719,314.2168273925781,166.70401000976562,51.997615814208984
15,20280671.61448,4,360.946533203125,221.8551788330078,44.51182556152344,189.614501953125,49.56706237792969,89.48272705078125,314.2168273925781,173.9009246826172,51.362266540527344
16,20254501.28892,4,360.946533203125,222.59884643554688,43.995361328125,189.614501953125,50.17769241333008,89.8553695678711,314.2168273925781,174.88406372070312,51.50289535522461
17,20308172.63456,4,360.946533203125,223.23194885253906,43.97599411010742,189.614501953125,52.84743881225586,89.66252136230469,314.2168273925781,177.06378173828125,50.72245788574219
18,20304180.551,4,360.946533203125,221.118408203125,45.908111572265625,189.614501953125,57.13679504394531,87.89429473876953,314.2168273925781,180.0694122314453,48.76656723022461
19,20297970.64324,4,360.946533203125,226.123291015625,42.81539535522461,189.614501953125,59.52165222167969,91.12841033935547,314.2168273925781,186.38809204101562,46.54234313964844
20,20247847.81632,4,360.946533203125,230.010009765625,43.163150787353516,189.614501953125,61.85962677001953,86.56363677978516,314.2168273925781,187.65133666992188,46.175262451171875
21,68861256.0,1,524.6344604492188,236.78482055664062,55.678306579589844,277.2047119140625,64.02618408203125,92.83018493652344,462.490966796875,194.004638671875,57.32620620727539
22,68861256.0,1,524.6344604492188,245.80838012695312,65.6873550415039,277.2047119140625,67.88664245605469,96.54135131835938,462.490966796875,201.91424560546875,65.37673950195312
23,68861256.0,1,524.6344604492188,247.79318237304688,63.9390869140625,277.2047119140625,71.84452819824219,94.98210144042969,462.490966796875,203.82415771484375,65.32200622558594
24,68861256.0,1,524.6344604492188,253.33843994140625,62.156429290771484,277.2047119140625,68.09196472167969,99.60091400146484,462.490966796875,205.36566162109375,67.71411895751953
25,68861256.0,1,524.6344604492188,256.754638671875,60.92348861694336,277.2047119140625,67.59230041503906,100.3478775024414,462.490966796875,206.3148193359375,67.99369812011719
26,68861256.0,1,524.6344604492188,264.2251892089844,62.52836608886719,277.2047119140625,65.89297485351562,105.19890594482422,462.490966796875,210.86544799804688,71.69844818115234
27,68861256.0,1,524.6344604492188,268.008056640625,63.378971099853516,277.2047119140625,70.74579620361328,104.67779541015625,462.490966796875,215.20803833007812,72.3326644897461
28,68861256.0,1,524.6344604492188,270.2870788574219,62.99546813964844,277.2047119140625,71.2086181640625,104.7375717163086,462.490966796875,216.94009399414062,71.81707763671875
29,68861256.0,1,524.6344604492188,272.6258850097656,61.80430221557617,277.2047119140625,71.74911499023438,105.44983673095703,462.490966796875,218.4517364501953,72.25447082519531
30,68861256.0,1,524.6344604492188,274.05438232421875,60.90895462036133,277.2047119140625,74.808837890625,105.53994750976562,462.490966796875,222.03936767578125,70.7336654663086
31,77580817.96784,2,524.6344604492188,280.4806823730469,66.64949798583984,287.2546691894531,78.16171264648438,109.029052734375,503.77978515625,227.89035034179688,78.94804382324219
32,77594827.064,2,524.6344604492188,284.48291015625,65.29412078857422,287.2546691894531,74.70372772216797,111.36516571044922,503.77978515625,229.29638671875,79.08065032958984
33,77597940.19648,2,524.6344604492188,291.0030822753906,68.33759307861328,287.2546691894531,91.02989196777344,108.37562561035156,503.77978515625,241.62661743164062,80.20545196533203
34,93316792.0,1,551.58642578125,300.2076416015625,72.7879409790039,319.6276550292969,95.30171203613281,112.50855255126953,519.43359375,247.9685516357422,87.14923858642578
35,99026976.0,1,561.8831176757812,304.2310791015625,80.46977233886719,320.016845703125,106.52304077148438,107.51837921142578,539.5023803710938,254.984130859375,92.58907318115234
36,99026976.0,1,561.8831176757812,310.5496826171875,79.86900329589844,320.016845703125,117.46278381347656,102.5029525756836,539.5023803710938,264.6416320800781,90.47827911376953
37,99026976.0,1,561.8831176757812,316.74456787109375,80.08830261230469,320.016845703125,132.8211669921875,93.96707153320312,539.5023803710938,276.05609130859375,86.12417602539062
38,99026976.0,1,561.8831176757812,320.36517333984375,79.71150970458984,320.016845703125,136.850830078125,92.5472412109375,539.5023803710938,279.74517822265625,84.38563537597656
39,99026976.0,1,561.8831176757812,329.4167175292969,82.35515594482422,320.016845703125,141.7681884765625,95.66123962402344,539.5023803710938,286.3216247558594,86.39432525634766
40,196040992.0,1,712.4269409179688,335.92022705078125,95.18489837646484,398.5552673339844,149.77487182617188,96.46024322509766,678.3960571289062,294.12591552734375,98.03155517578125
41,196040992.0,1,712.4269409179688,340.05322265625,95.07633972167969,398.5552673339844,158.46136474609375,89.40487670898438,678.3960571289062,301.447265625,96.0218505859375
42,196040992.0,1,712.4269409179688,347.9190673828125,93.83199310302734,398.5552673339844,158.1248016357422,94.71684265136719,678.3960571289062,305.66290283203125,93.9784164428711
43,196040992.0,1,712.4269409179688,351.2665710449219,91.58499145507812,398.5552673339844,158.09304809570312,95.77249908447266,678.3960571289062,306.5537414550781,93.4859848022461
